"gender","age","daily_meals","physical_activity","height_cm","weight_kg","bmr","carbs","actual_protein","fats","actual_calories","activity_factor","ideal_calories","ideal_protein","calorie_gap","protein_gap"
"male","26","3","0","170","94.0","1877.5","281.62","112.65","75.1","2253.0","1.2","2253.0","75.2","0.0","37.45"
"female","34","2","0","152","58.0","1199.0","179.85","71.94","47.96","1438.8","1.2","1438.8","46.4","0.0","25.54"
"male","28","3","0","170","109.0","2017.5","302.62","121.05","80.7","2421.0","1.2","2421.0","87.2","0.0","33.85"
"female","27","3","0","157","77.0","1455.25","218.29","87.32","58.21","1746.3","1.2","1746.3","61.6","0.0","25.72"
"female","21","2","0","163","92.0","1672.75","250.91","100.36","66.91","2007.3","1.2","2007.3","73.6","0.0","26.76"
"male","44","3","0","157","55.0","1316.25","197.44","78.97","52.65","1579.5","1.2","1579.5","44.0","0.0","34.97"
"female","22","4","0","157","58.0","1290.25","193.54","77.42","51.61","1548.3","1.2","1548.3","46.4","0.0","31.02"
"female","35","3","0","160","80.0","1464.0","219.6","87.84","58.56","1756.8","1.2","1756.8","64.0","0.0","23.84"
"female","24","3","0","168","103.0","1799.0","269.85","107.94","71.96","2158.8","1.2","2158.8","82.4","0.0","25.54"
"female","40","3","0","142","82.0","1346.5","201.98","80.79","53.86","1615.8","1.2","1615.8","65.6","0.0","15.19"
"female","21","4","0","142","80.0","1421.5","213.22","85.29","56.86","1705.8","1.2","1705.8","64.0","0.0","21.29"
"female","22","2","0","157","48.0","1190.25","178.54","71.42","47.61","1428.3","1.2","1428.3","38.4","0.0","33.02"
"female","22","2","0","155","45.0","1147.75","172.16","68.86","45.91","1377.3","1.2","1377.3","36.0","0.0","32.86"
"female","23","3","1","168","65.0","1424.0","244.75","97.9","65.27","1958.0","1.38","1965.12","52.0","-7.12","45.9"
"female","21","4","1","157","50.0","1215.25","208.87","83.55","55.7","1670.97","1.38","1677.04","40.0","-6.07","43.55"
"male","23","4","4","170","77.0","1722.5","409.09","163.64","109.09","3272.76","1.9","3272.75","61.6","0.01","102.04"
"male","23","4","1","168","85.0","1790.0","307.66","123.06","82.04","2461.25","1.38","2470.2","68.0","-8.95","55.06"
"male","21","3","3","170","60.0","1562.5","336.91","134.77","89.84","2695.32","1.73","2703.13","48.0","-7.81","86.77"
"female","20","3","0","160","65.0","1389.0","208.35","83.34","55.56","1666.8","1.2","1666.8","52.0","0.0","31.34"
"male","22","3","0","165","40.0","1326.25","198.94","79.58","53.05","1591.5","1.2","1591.5","32.0","0.0","47.58"
"male","30","4","0","165","103.0","1916.25","287.44","114.98","76.65","2299.5","1.2","2299.5","82.4","0.0","32.58"
"female","20","3","0","165","46.0","1230.25","184.54","73.82","49.21","1476.3","1.2","1476.3","36.8","0.0","37.02"
"female","30","3","0","152","99.0","1629.0","244.35","97.74","65.16","1954.8","1.2","1954.8","79.2","0.0","18.54"
"male","36","3","0","168","51.0","1385.0","207.75","83.1","55.4","1662.0","1.2","1662.0","40.8","0.0","42.3"
"male","23","2","0","160","41.0","1300.0","195.0","78.0","52.0","1560.0","1.2","1560.0","32.8","0.0","45.2"
"male","19","3","0","155","99.0","1868.75","280.31","112.12","74.75","2242.5","1.2","2242.5","79.2","0.0","32.92"
"male","25","3","0","157","113.0","1991.25","298.69","119.48","79.65","2389.5","1.2","2389.5","90.4","0.0","29.08"
"male","22","4","0","175","81.0","1798.75","269.81","107.92","71.95","2158.5","1.2","2158.5","64.8","0.0","43.12"
"male","41","3","0","163","101.0","1828.75","274.31","109.72","73.15","2194.5","1.2","2194.5","80.8","0.0","28.92"
"male","32","3","0","168","117.0","2065.0","309.75","123.9","82.6","2478.0","1.2","2478.0","93.6","0.0","30.3"
"male","21","3","0","168","55.0","1500.0","225.0","90.0","60.0","1800.0","1.2","1800.0","44.0","0.0","46.0"
"female","36","3","0","160","44.0","1099.0","164.85","65.94","43.96","1318.8","1.2","1318.8","35.2","0.0","30.74"
"male","19","2","0","160","44.0","1350.0","202.5","81.0","54.0","1620.0","1.2","1620.0","35.2","0.0","45.8"
"male","32","4","0","173","106.0","1986.25","297.94","119.18","79.45","2383.5","1.2","2383.5","84.8","0.0","34.38"
"female","18","3","0","145","69.0","1345.25","201.79","80.72","53.81","1614.3","1.2","1614.3","55.2","0.0","25.52"
"female","19","2","1","157","54.0","1265.25","217.46","86.99","57.99","1739.72","1.38","1746.04","43.2","-6.32","43.79"
"male","18","2","1","163","71.0","1643.75","282.52","113.01","75.34","2260.16","1.38","2268.38","56.8","-8.22","56.21"
"male","23","3","0","165","53.0","1451.25","217.69","87.08","58.05","1741.5","1.2","1741.5","42.4","0.0","44.68"
"female","21","4","0","160","97.0","1704.0","255.6","102.24","68.16","2044.8","1.2","2044.8","77.6","0.0","24.64"
"female","22","4","0","140","72.0","1324.0","198.6","79.44","52.96","1588.8","1.2","1588.8","57.6","0.0","21.84"
"female","31","2","0","157","78.0","1445.25","216.79","86.72","57.81","1734.3","1.2","1734.3","62.4","0.0","24.32"
"female","20","3","3","160","38.0","1119.0","241.28","96.51","64.34","1930.27","1.73","1935.87","30.4","-5.6","66.11"
"male","23","3","0","168","105.0","1990.0","298.5","119.4","79.6","2388.0","1.2","2388.0","84.0","0.0","35.4"
"female","22","4","0","163","55.0","1297.75","194.66","77.86","51.91","1557.3","1.2","1557.3","44.0","0.0","33.86"
"male","21","3","4","168","58.0","1530.0","363.38","145.35","96.9","2907.0","1.9","2907.0","46.4","0.0","98.95"
"male","16","3","2","173","58.0","1586.25","307.34","122.93","81.96","2458.68","1.55","2458.69","46.4","-0.01","76.53"
"male","25","2","0","178","100.0","1992.5","298.88","119.55","79.7","2391.0","1.2","2391.0","80.0","0.0","39.55"
"female","37","3","0","145","97.0","1530.25","229.54","91.82","61.21","1836.3","1.2","1836.3","77.6","0.0","14.22"
"male","22","3","1","165","63.0","1556.25","267.48","106.99","71.33","2139.84","1.38","2147.63","50.4","-7.79","56.59"
"female","25","3","0","160","45.0","1164.0","174.6","69.84","46.56","1396.8","1.2","1396.8","36.0","0.0","33.84"
"female","35","3","0","163","80.0","1482.75","222.41","88.96","59.31","1779.3","1.2","1779.3","64.0","0.0","24.96"
"female","30","3","0","142","100.0","1576.5","236.48","94.59","63.06","1891.8","1.2","1891.8","80.0","0.0","14.59"
"male","28","3","0","173","54.0","1486.25","222.94","89.18","59.45","1783.5","1.2","1783.5","43.2","0.0","45.98"
"female","20","2","0","145","72.0","1365.25","204.79","81.92","54.61","1638.3","1.2","1638.3","57.6","0.0","24.32"
"female","58","2","0","142","70.0","1136.5","170.48","68.19","45.46","1363.8","1.2","1363.8","56.0","0.0","12.19"
"female","21","2","0","168","67.0","1454.0","218.1","87.24","58.16","1744.8","1.2","1744.8","53.6","0.0","33.64"
"female","22","3","0","155","50.0","1197.75","179.66","71.86","47.91","1437.3","1.2","1437.3","40.0","0.0","31.86"
"female","21","2","0","165","85.0","1615.25","242.29","96.92","64.61","1938.3","1.2","1938.3","68.0","0.0","28.92"
"male","20","3","0","170","50.0","1467.5","220.12","88.05","58.7","1761.0","1.2","1761.0","40.0","0.0","48.05"
"female","26","2","2","155","72.0","1397.75","270.81","108.33","72.22","2166.51","1.55","2166.51","57.6","0.0","50.73"
"male","37","2","1","163","68.0","1518.75","261.04","104.41","69.61","2088.28","1.38","2095.88","54.4","-7.6","50.01"
"female","41","3","0","157","107.0","1685.25","252.79","101.12","67.41","2022.3","1.2","2022.3","85.6","0.0","15.52"
"female","46","3","1","160","47.0","1079.0","185.45","74.18","49.45","1483.62","1.38","1489.02","37.6","-5.4","36.58"
"female","35","3","0","140","100.0","1539.0","230.85","92.34","61.56","1846.8","1.2","1846.8","80.0","0.0","12.34"
"female","25","3","0","160","85.0","1564.0","234.6","93.84","62.56","1876.8","1.2","1876.8","68.0","0.0","25.84"
"male","25","3","1","178","97.0","1962.5","337.3","134.92","89.95","2698.44","1.38","2708.25","77.6","-9.81","57.32"
"male","22","3","0","165","45.0","1376.25","206.44","82.58","55.05","1651.5","1.2","1651.5","36.0","0.0","46.58"
"male","26","3","0","173","52.0","1476.25","221.44","88.58","59.05","1771.5","1.2","1771.5","41.6","0.0","46.98"
"male","24","2","4","160","70.0","1585.0","376.44","150.57","100.38","3011.5","1.9","3011.5","56.0","0.0","94.57"
"female","18","3","0","165","50.0","1280.25","192.04","76.82","51.21","1536.3","1.2","1536.3","40.0","0.0","36.82"
"female","18","2","0","168","55.0","1349.0","202.35","80.94","53.96","1618.8","1.2","1618.8","44.0","0.0","36.94"
"male","23","3","0","173","91.0","1881.25","282.19","112.88","75.25","2257.5","1.2","2257.5","72.8","0.0","40.08"
"female","26","3","0","157","99.0","1680.25","252.04","100.82","67.21","2016.3","1.2","2016.3","79.2","0.0","21.62"
"female","40","3","0","160","40.0","1039.0","155.85","62.34","41.56","1246.8","1.2","1246.8","32.0","0.0","30.34"
"female","25","2","3","152","64.0","1304.0","281.18","112.47","74.98","2249.4","1.73","2255.92","51.2","-6.52","61.27"
"male","35","4","0","168","109.0","1970.0","295.5","118.2","78.8","2364.0","1.2","2364.0","87.2","0.0","31.0"
"male","22","2","0","170","61.0","1567.5","235.12","94.05","62.7","1881.0","1.2","1881.0","48.8","0.0","45.25"
"female","22","4","0","170","90.0","1691.5","253.72","101.49","67.66","2029.8","1.2","2029.8","72.0","0.0","29.49"
"male","34","3","0","163","112.0","1973.75","296.06","118.42","78.95","2368.5","1.2","2368.5","89.6","0.0","28.82"
"male","25","4","0","178","90.0","1892.5","283.88","113.55","75.7","2271.0","1.2","2271.0","72.0","0.0","41.55"
"male","25","2","0","170","78.0","1722.5","258.38","103.35","68.9","2067.0","1.2","2067.0","62.4","0.0","40.95"
"female","25","2","0","157","48.0","1175.25","176.29","70.52","47.01","1410.3","1.2","1410.3","38.4","0.0","32.12"
"male","24","4","1","170","70.0","1647.5","283.16","113.27","75.51","2265.31","1.38","2273.55","56.0","-8.24","57.27"
"female","41","4","0","155","88.0","1482.75","222.41","88.96","59.31","1779.3","1.2","1779.3","70.4","0.0","18.56"
"female","39","2","0","155","76.0","1372.75","205.91","82.36","54.91","1647.3","1.2","1647.3","60.8","0.0","21.56"
"male","18","3","0","152","93.0","1795.0","269.25","107.7","71.8","2154.0","1.2","2154.0","74.4","0.0","33.3"
"male","23","4","4","173","86.0","1831.25","434.92","173.97","115.98","3479.38","1.9","3479.38","68.8","0.0","105.17"
"female","23","3","0","163","67.0","1412.75","211.91","84.76","56.51","1695.3","1.2","1695.3","53.6","0.0","31.16"
"male","26","2","0","165","89.0","1796.25","269.44","107.78","71.85","2155.5","1.2","2155.5","71.2","0.0","36.58"
"male","17","2","0","163","95.0","1888.75","283.31","113.32","75.55","2266.5","1.2","2266.5","76.0","0.0","37.32"
"male","22","3","0","168","113.0","2075.0","311.25","124.5","83.0","2490.0","1.2","2490.0","90.4","0.0","34.1"
"male","25","2","0","163","44.0","1338.75","200.81","80.32","53.55","1606.5","1.2","1606.5","35.2","0.0","45.12"
"male","26","3","1","170","88.0","1817.5","312.38","124.95","83.3","2499.06","1.38","2508.15","70.4","-9.09","54.55"
"female","22","3","0","140","48.0","1084.0","162.6","65.04","43.36","1300.8","1.2","1300.8","38.4","0.0","26.64"
"female","25","2","0","157","75.0","1445.25","216.79","86.72","57.81","1734.3","1.2","1734.3","60.0","0.0","26.72"
"female","20","3","0","157","76.0","1480.25","222.04","88.82","59.21","1776.3","1.2","1776.3","60.8","0.0","28.02"
"male","22","3","0","157","115.0","2026.25","303.94","121.58","81.05","2431.5","1.2","2431.5","92.0","0.0","29.58"
"male","23","3","3","178","92.0","1922.5","414.54","165.82","110.54","3316.32","1.73","3325.93","73.6","-9.61","92.22"
"female","32","3","0","163","46.0","1157.75","173.66","69.46","46.31","1389.3","1.2","1389.3","36.8","0.0","32.66"
"male","21","3","3","173","60.0","1581.25","340.96","136.38","90.92","2727.66","1.73","2735.56","48.0","-7.9","88.38"
"male","25","3","0","165","46.0","1371.25","205.69","82.28","54.85","1645.5","1.2","1645.5","36.8","0.0","45.48"
"male","25","3","0","170","52.0","1462.5","219.38","87.75","58.5","1755.0","1.2","1755.0","41.6","0.0","46.15"
"male","23","4","1","170","72.0","1672.5","287.46","114.98","76.66","2299.68","1.38","2308.05","57.6","-8.37","57.38"
"female","23","2","0","160","67.0","1394.0","209.1","83.64","55.76","1672.8","1.2","1672.8","53.6","0.0","30.04"
"male","23","2","1","170","71.0","1662.5","285.74","114.3","76.2","2285.94","1.38","2294.25","56.8","-8.31","57.5"
"male","23","3","0","173","54.0","1511.25","226.69","90.68","60.45","1813.5","1.2","1813.5","43.2","0.0","47.48"
"male","22","3","0","170","65.0","1607.5","241.12","96.45","64.3","1929.0","1.2","1929.0","52.0","0.0","44.45"
"male","25","3","0","170","46.0","1402.5","210.38","84.15","56.1","1683.0","1.2","1683.0","36.8","0.0","47.35"
"male","25","3","0","165","42.0","1331.25","199.69","79.88","53.25","1597.5","1.2","1597.5","33.6","0.0","46.28"
"female","23","4","0","152","80.0","1474.0","221.1","88.44","58.96","1768.8","1.2","1768.8","64.0","0.0","24.44"
"male","18","2","0","168","73.0","1695.0","254.25","101.7","67.8","2034.0","1.2","2034.0","58.4","0.0","43.3"
"male","21","3","0","165","46.0","1391.25","208.69","83.48","55.65","1669.5","1.2","1669.5","36.8","0.0","46.68"
"male","18","3","0","168","55.0","1515.0","227.25","90.9","60.6","1818.0","1.2","1818.0","44.0","0.0","46.9"
"male","22","3","2","173","56.0","1536.25","297.65","119.06","79.37","2381.18","1.55","2381.19","44.8","-0.01","74.26"
"male","25","3","0","160","116.0","2040.0","306.0","122.4","81.6","2448.0","1.2","2448.0","92.8","0.0","29.6"
"male","24","2","0","180","74.0","1750.0","262.5","105.0","70.0","2100.0","1.2","2100.0","59.2","0.0","45.8"
"female","22","2","0","160","75.0","1479.0","221.85","88.74","59.16","1774.8","1.2","1774.8","60.0","0.0","28.74"
"male","22","3","0","168","50.0","1445.0","216.75","86.7","57.8","1734.0","1.2","1734.0","40.0","0.0","46.7"
"male","32","3","4","165","77.0","1646.25","390.98","156.39","104.26","3127.87","1.9","3127.88","61.6","-0.01","94.79"
"male","22","2","4","170","72.0","1677.5","398.41","159.36","106.24","3187.25","1.9","3187.25","57.6","0.0","101.76"
"male","30","3","0","163","98.0","1853.75","278.06","111.22","74.15","2224.5","1.2","2224.5","78.4","0.0","32.82"
"female","20","4","0","165","80.0","1570.25","235.54","94.22","62.81","1884.3","1.2","1884.3","64.0","0.0","30.22"
"female","59","2","0","145","72.0","1170.25","175.54","70.22","46.81","1404.3","1.2","1404.3","57.6","0.0","12.62"
"male","17","3","0","188","55.0","1645.0","246.75","98.7","65.8","1974.0","1.2","1974.0","44.0","0.0","54.7"
"female","26","3","0","145","87.0","1485.25","222.79","89.12","59.41","1782.3","1.2","1782.3","69.6","0.0","19.52"
"female","44","3","0","157","85.0","1450.25","217.54","87.02","58.01","1740.3","1.2","1740.3","68.0","0.0","19.02"
"female","40","3","1","152","80.0","1389.0","238.73","95.49","63.66","1909.87","1.38","1916.82","64.0","-6.95","31.49"
"male","19","3","0","170","65.0","1622.5","243.38","97.35","64.9","1947.0","1.2","1947.0","52.0","0.0","45.35"
"female","28","2","0","137","55.0","1105.25","165.79","66.32","44.21","1326.3","1.2","1326.3","44.0","0.0","22.32"
"male","24","3","0","163","117.0","2073.75","311.06","124.42","82.95","2488.5","1.2","2488.5","93.6","0.0","30.82"
"female","27","3","0","165","49.0","1225.25","183.79","73.52","49.01","1470.3","1.2","1470.3","39.2","0.0","34.32"
"female","22","3","3","160","79.0","1519.0","327.53","131.01","87.34","2620.27","1.73","2627.87","63.2","-7.6","67.81"
"female","24","4","0","147","59.0","1227.75","184.16","73.67","49.11","1473.3","1.2","1473.3","47.2","0.0","26.47"
"female","21","3","0","163","45.0","1202.75","180.41","72.17","48.11","1443.3","1.2","1443.3","36.0","0.0","36.17"
"male","20","2","4","185","88.0","1941.25","461.05","184.42","122.95","3688.38","1.9","3688.38","70.4","0.0","114.02"
"male","23","2","0","165","69.0","1611.25","241.69","96.68","64.45","1933.5","1.2","1933.5","55.2","0.0","41.48"
"female","22","2","0","173","50.0","1310.25","196.54","78.61","52.41","1572.3","1.2","1572.3","40.0","0.0","38.61"
"male","24","3","0","173","113.0","2096.25","314.44","125.78","83.85","2515.5","1.2","2515.5","90.4","0.0","35.38"
"male","24","3","0","163","49.0","1393.75","209.06","83.62","55.75","1672.5","1.2","1672.5","39.2","0.0","44.42"
"female","34","2","0","152","66.0","1279.0","191.85","76.74","51.16","1534.8","1.2","1534.8","52.8","0.0","23.94"
"male","23","3","0","157","120.0","2071.25","310.69","124.28","82.85","2485.5","1.2","2485.5","96.0","0.0","28.28"
"male","22","3","0","178","80.0","1807.5","271.12","108.45","72.3","2169.0","1.2","2169.0","64.0","0.0","44.45"
"female","21","2","0","152","50.0","1184.0","177.6","71.04","47.36","1420.8","1.2","1420.8","40.0","0.0","31.04"
"male","36","3","0","168","110.0","1975.0","296.25","118.5","79.0","2370.0","1.2","2370.0","88.0","0.0","30.5"
"male","22","2","0","175","72.0","1708.75","256.31","102.52","68.35","2050.5","1.2","2050.5","57.6","0.0","44.92"
"female","33","2","0","145","56.0","1140.25","171.04","68.42","45.61","1368.3","1.2","1368.3","44.8","0.0","23.62"
"male","23","2","0","170","78.0","1732.5","259.88","103.95","69.3","2079.0","1.2","2079.0","62.4","0.0","41.55"
"male","21","3","0","170","50.0","1462.5","219.38","87.75","58.5","1755.0","1.2","1755.0","40.0","0.0","47.75"
"male","34","3","0","163","48.0","1333.75","200.06","80.03","53.35","1600.5","1.2","1600.5","38.4","0.0","41.63"
"female","23","3","0","152","58.0","1254.0","188.1","75.24","50.16","1504.8","1.2","1504.8","46.4","0.0","28.84"
"male","27","3","0","173","104.0","1991.25","298.69","119.48","79.65","2389.5","1.2","2389.5","83.2","0.0","36.28"
"male","51","4","0","152","85.0","1550.0","232.5","93.0","62.0","1860.0","1.2","1860.0","68.0","0.0","25.0"
"male","23","4","0","178","62.0","1622.5","243.38","97.35","64.9","1947.0","1.2","1947.0","49.6","0.0","47.75"
"male","23","3","0","165","113.0","2051.25","307.69","123.08","82.05","2461.5","1.2","2461.5","90.4","0.0","32.68"
"female","33","2","0","145","73.0","1310.25","196.54","78.61","52.41","1572.3","1.2","1572.3","58.4","0.0","20.21"
"male","23","2","0","163","72.0","1628.75","244.31","97.72","65.15","1954.5","1.2","1954.5","57.6","0.0","40.12"
"male","24","2","1","170","99.0","1937.5","333.01","133.2","88.8","2664.06","1.38","2673.75","79.2","-9.69","54.0"
"female","27","3","0","160","47.0","1174.0","176.1","70.44","46.96","1408.8","1.2","1408.8","37.6","0.0","32.84"
"male","23","3","0","165","44.0","1361.25","204.19","81.68","54.45","1633.5","1.2","1633.5","35.2","0.0","46.48"
"female","21","3","2","157","70.0","1415.25","274.2","109.68","73.12","2193.64","1.55","2193.64","56.0","0.0","53.68"
"male","45","3","0","175","45.0","1323.75","198.56","79.42","52.95","1588.5","1.2","1588.5","36.0","0.0","43.42"
"male","33","3","0","168","73.0","1620.0","243.0","97.2","64.8","1944.0","1.2","1944.0","58.4","0.0","38.8"
"female","15","2","3","168","65.0","1464.0","315.68","126.27","84.18","2525.4","1.73","2532.72","52.0","-7.32","74.27"
"female","27","3","0","145","90.0","1510.25","226.54","90.62","60.41","1812.3","1.2","1812.3","72.0","0.0","18.62"
"male","23","2","2","170","85.0","1802.5","349.23","139.69","93.13","2793.87","1.55","2793.88","68.0","-0.01","71.69"
"male","24","2","0","163","40.0","1303.75","195.56","78.22","52.15","1564.5","1.2","1564.5","32.0","0.0","46.22"
"female","31","2","0","165","110.0","1815.25","272.29","108.92","72.61","2178.3","1.2","2178.3","88.0","0.0","20.92"
"male","23","2","0","173","100.0","1971.25","295.69","118.28","78.85","2365.5","1.2","2365.5","80.0","0.0","38.28"
"male","24","3","2","170","70.0","1647.5","319.2","127.68","85.12","2553.62","1.55","2553.63","56.0","-0.01","71.68"
"female","54","4","0","157","88.0","1430.25","214.54","85.82","57.21","1716.3","1.2","1716.3","70.4","0.0","15.42"
"male","24","3","0","178","90.0","1897.5","284.62","113.85","75.9","2277.0","1.2","2277.0","72.0","0.0","41.85"
"female","28","2","1","152","52.0","1169.0","200.92","80.37","53.58","1607.38","1.38","1613.22","41.6","-5.84","38.77"
"male","38","3","0","168","118.0","2045.0","306.75","122.7","81.8","2454.0","1.2","2454.0","94.4","0.0","28.3"
"female","25","2","1","145","61.0","1230.25","211.45","84.58","56.39","1691.59","1.38","1697.75","48.8","-6.16","35.78"
"female","58","2","0","157","77.0","1300.25","195.04","78.02","52.01","1560.3","1.2","1560.3","61.6","0.0","16.42"
"female","21","3","4","157","54.0","1255.25","298.12","119.25","79.5","2384.98","1.9","2384.98","43.2","0.0","76.05"
"male","23","3","0","178","69.0","1692.5","253.88","101.55","67.7","2031.0","1.2","2031.0","55.2","0.0","46.35"
"male","35","3","0","173","110.0","2011.25","301.69","120.68","80.45","2413.5","1.2","2413.5","88.0","0.0","32.68"
"male","23","3","0","168","58.0","1520.0","228.0","91.2","60.8","1824.0","1.2","1824.0","46.4","0.0","44.8"
"male","26","3","0","157","114.0","1996.25","299.44","119.78","79.85","2395.5","1.2","2395.5","91.2","0.0","28.58"
"male","24","3","0","175","80.0","1778.75","266.81","106.72","71.15","2134.5","1.2","2134.5","64.0","0.0","42.72"
"male","25","3","0","168","49.0","1420.0","213.0","85.2","56.8","1704.0","1.2","1704.0","39.2","0.0","46.0"
"female","37","2","0","157","80.0","1435.25","215.29","86.12","57.41","1722.3","1.2","1722.3","64.0","0.0","22.12"
"female","50","2","0","152","65.0","1189.0","178.35","71.34","47.56","1426.8","1.2","1426.8","52.0","0.0","19.34"
"male","25","3","0","185","78.0","1816.25","272.44","108.98","72.65","2179.5","1.2","2179.5","62.4","0.0","46.58"
"female","29","3","0","145","97.0","1570.25","235.54","94.22","62.81","1884.3","1.2","1884.3","77.6","0.0","16.62"
